Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-2024-04595,2021-01-01,2021-01-08,Standard Class,CUS-7709,Corporate,South,Alabama,Furniture,Chairs,1061.57,9,0.0,103.49
ORD-2022-02022,2021-01-01,2021-01-03,Standard Class,CUS-4579,Corporate,West,Oregon,Furniture,Tables,763.33,4,0.0,74.14
ORD-2021-00144,2021-01-01,2021-01-07,First Class,CUS-7513,Consumer,East,Virginia,Furniture,Furnishings,572.9,1,0.2,-133.06
ORD-2024-05063,2021-01-03,2021-01-09,Standard Class,CUS-1856,Consumer,West,Oregon,Technology,Copiers,588.45,9,0.4,-138.14
ORD-2021-00453,2021-01-03,2021-01-07,Standard Class,CUS-8638,Corporate,West,Colorado,Office Supplies,Labels,87.75,1,0.0,17.1
ORD-2022-01870,2021-01-03,2021-01-06,Standard Class,CUS-5606,Home Office,East,North Carolina,Technology,Accessories,1303.83,4,0.4,-252.71
ORD-2024-05122,2021-01-03,2021-01-08,Second Class,CUS-3009,Consumer,East,Massachusetts,Technology,Accessories,874.4,4,0.0,228.93
ORD-2023-03514,2021-01-03,2021-01-07,Second Class,CUS-4111,Consumer,South,South Carolina,Technology,Copiers,223.88,6,0.3,-40.18
ORD-2022-01853,2021-01-04,2021-01-10,Standard Class,CUS-2015,Consumer,Central,Illinois,Office Supplies,Art,149.34,5,0.2,-15.44
ORD-2023-03242,2021-01-04,2021-01-06,Second Class,CUS-8611,Consumer,South,South Carolina,Office Supplies,Supplies,130.58,1,0.0,21.68
ORD-2024-04673,2021-01-04,2021-01-09,Standard Class,CUS-2867,Consumer,East,Virginia,Technology,Monitors,242.88,2,0.4,-53.51
ORD-2022-01992,2021-01-04,2021-01-11,Standard Class,CUS-1520,Consumer,East,New Jersey,Technology,Monitors,565.02,3,0.2,-20.22
ORD-2022-01768,2021-01-05,2021-01-10,Same Day,CUS-6430,Corporate,West,Colorado,Technology,Monitors,328.72,8,0.0,97.62
ORD-2024-04378,2021-01-05,2021-01-10,Standard Class,CUS-2695,Corporate,South,Tennessee,Furniture,Storage,250.07,7,0.0,11.25
ORD-2023-03694,2021-01-06,2021-01-08,Second Class,CUS-6505,Consumer,Central,Illinois,Office Supplies,Supplies,59.46,7,0.0,6.14
ORD-2023-03156,2021-01-06,2021-01-08,Standard Class,CUS-7225,Consumer,West,Washington,Office Supplies,Labels,75.81,6,0.1,5.04
ORD-2023-02930,2021-01-07,2021-01-09,Standard Class,CUS-1190,Home Office,Central,Indiana,Furniture,Storage,72.37,2,0.2,-20.64
ORD-2023-02909,2021-01-09,2021-01-12,Second Class,CUS-6895,Home Office,Central,Michigan,Office Supplies,Fasteners,142.8,9,0.0,27.79
ORD-2023-02852,2021-01-10,2021-01-13,First Class,CUS-3203,Corporate,South,South Carolina,Office Supplies,Labels,126.4,9,0.0,17.05
ORD-2021-00371,2021-01-11,2021-01-16,First Class,CUS-2765,Corporate,West,Arizona,Office Supplies,Binders,142.21,9,0.1,9.76
ORD-2021-01141,2021-01-12,2021-01-17,Standard Class,CUS-1483,Corporate,South,Louisiana,Technology,Laptops,412.14,5,0.0,83.14
ORD-2024-03979,2021-01-12,2021-01-17,Standard Class,CUS-2692,Consumer,Central,Michigan,Office Supplies,Fasteners,156.35,2,0.4,-51.39
ORD-2021-00812,2021-01-12,2021-01-19,Standard Class,CUS-9676,Corporate,South,Florida,Furniture,Bookcases,299.4,9,0.2,-86.72
ORD-2021-00742,2021-01-13,2021-01-16,Standard Class,CUS-3658,Consumer,South,Louisiana,Technology,Copiers,507.15,7,0.3,-89.13
ORD-2021-00721,2021-01-13,2021-01-16,First Class,CUS-9156,Corporate,East,North Carolina,Furniture,Chairs,239.41,6,0.2,-56.74
ORD-2023-03690,2021-01-13,2021-01-20,Second Class,CUS-4290,Consumer,West,Colorado,Technology,Phones,488.51,7,0.2,18.92
ORD-2021-00786,2021-01-13,2021-01-15,Standard Class,CUS-9908,Consumer,South,Alabama,Technology,Printers,107.7,9,0.0,7.67
ORD-2024-04305,2021-01-14,2021-01-16,Second Class,CUS-7507,Home Office,West,Colorado,Furniture,Storage,433.89,2,0.3,-143.37
ORD-2021-01267,2021-01-14,2021-01-18,First Class,CUS-4796,Corporate,South,Alabama,Furniture,Chairs,851.85,3,0.0,59.93
ORD-2021-00953,2021-01-15,2021-01-20,Standard Class,CUS-3088,Home Office,West,California,Office Supplies,Envelopes,76.31,7,0.0,16.24
ORD-2023-03191,2021-01-16,2021-01-21,Second Class,CUS-3505,Home Office,West,Nevada,Office Supplies,Labels,23.5,6,0.4,-6.95
ORD-2021-00368,2021-01-17,2021-01-22,Second Class,CUS-7843,Consumer,East,Pennsylvania,Technology,Phones,411.86,9,0.0,106.16
ORD-2022-01617,2021-01-17,2021-01-24,Standard Class,CUS-8582,Home Office,Central,Indiana,Office Supplies,Labels,69.8,3,0.2,-1.92
ORD-2021-00805,2021-01-17,2021-01-21,First Class,CUS-6695,Consumer,West,Colorado,Furniture,Tables,384.09,2,0.0,51.71
ORD-2024-04085,2021-01-17,2021-01-24,Standard Class,CUS-2581,Consumer,South,Louisiana,Furniture,Chairs,97.66,6,0.0,9.12
ORD-2024-05136,2021-01-17,2021-01-21,Standard Class,CUS-2590,Corporate,West,Washington,Furniture,Furnishings,320.04,3,0.3,-130.87
ORD-2021-00100,2021-01-18,2021-01-24,Standard Class,CUS-6335,Home Office,South,Florida,Furniture,Chairs,303.31,5,0.0,32.63
ORD-2024-04644,2021-01-18,2021-01-21,Standard Class,CUS-6570,Corporate,West,California,Furniture,Bookcases,74.67,5,0.0,8.53
ORD-2024-04115,2021-01-19,2021-01-21,Standard Class,CUS-6851,Consumer,West,Colorado,Office Supplies,Fasteners,32.91,6,0.1,3.55
ORD-2021-01088,2021-01-19,2021-01-21,Standard Class,CUS-6034,Consumer,East,New Jersey,Office Supplies,Labels,78.64,8,0.1,5.93
ORD-2023-03180,2021-01-19,2021-01-22,Standard Class,CUS-7066,Corporate,South,Tennessee,Furniture,Furnishings,315.35,9,0.3,-136.05
ORD-2021-01174,2021-01-20,2021-01-23,First Class,CUS-2909,Consumer,East,North Carolina,Technology,Laptops,132.05,3,0.1,17.24
